"nazivparka","datumosnutka","drzava","lokacija","wikipediastranica","prosjbrposjetiteljagodisnje","povrsina","sluzbenastranica","klima","nativnevrste","id"
"Plitvička jezera","1949-04-08","Hrvatska","Ličko-senjska županija","Plitvice_Lakes_National_Park",1367304,296.85,"https://np-plitvicka-jezera.hr","umjerena planinska","{""Edraianthus tenuifolius"",""Ranunculus scutatus"",""Scilla litardierei""}",1
"Fiordland","1952-01-01","Novi Zeland","Southland","Fiordland_National_Park",500000,12607.00,"https://www.newzealand.com/uk/feature/national-parks-fiordland/","umjerna topla vlažna klima","{""Apteryx owenii"",""Hadramphus spinipennis"",""Oligosoma acrinasum""}",2
"Grand Canyon","1919-02-26","Sjedinjene Američke Države","Arizona","Grand_Canyon",5974411,4926.08,"https://www.nps.gov/grca/index.htm","mediteranska","{""Oxyloma haydeni kanabensis"",""Gila cypha"",""Papilio indra""}",3
"Iguazú","1934-01-01","Argentina","Misiones","Iguazú_National_Park",1000000,677.00,"https://iguazufalls.com/national-park/","vlažna subtropska","{""Tapirus terrestris"",""Leopardus pardalis"",""Brotogeris tirica""}",4
"Serengeti","1951-01-01","Tanzanija","Mara","Serengeti_National_Park",350000,14750.00,"https://www.serengeti.com/","subtropska","{""Panthera pardus pardus"",""Loxodonta africana"",""Diceros bicornis michaeli""}",5
"Göreme","1985-01-01","Turska","Nevsehir","Göreme_National_Park",509131,100.00,"https://www.ktb.gov.tr/EN-99801/nevsehir---goreme-national-park.html","Anatolijska kontinentalna","{""Canis lupus"",""Lutra lutra"",""Martes foina""}",6
"Fuji-Hakone-Izu","1936-02-01","Japan","Honshu","Fuji-Hakone-Izu_National_Park",6000000,1227.00,"https://www.fujihakoneizu.com","umjereno topla vlažna klima s toplim ljetom","{""Cirsium purpuratum"",""Rosa hirtula"",""Onychodactylus japonicus""}",7
"Lake District","1951-05-09","Ujedinjeno Kraljevstvo","North West England","Lake_District_National_Park",16400000,2362.00,"https://www.lakedistrict.gov.uk","umjereno topla vlažna klima s toplim ljetom","{""Coregonus vandesius"",""Coregonus lavaretus"",""Salvelinus alpinus""}",8
"Yellowstone","1872-03-01","Sjedinjene Američke Države","Wyoming","Yellowstone_National_Park",4020288,8983.18,"https://www.nps.gov/yell/index.htm","subartička","{""Abronia ammophila"",""Bison bison bison""}",9
"Yosemite","1890-10-01","Sjedinjene Američke Države","California","Yosemite_National_Park",4422861,3028.81,"https://www.nps.gov/yose/index.htm","mediteranska","{""Sorex lyelli"",""Ovis canadensis sierrae""}",10
